covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
data.sample.random_state,-0.05814273152102609,0.9435152684561812,0.05209880959424462,-0.16025452196315537,0.04396905892110319,0.8519269272553579,1.0449500225071573,0.0,-1.1160088296422255,0.2644183551119512,1.9191057670967626
attack.init.eps,-1.6065568558244503,0.20057704216836242,0.10044569459343934,-1.803426799629701,-1.4096869120191995,0.16473341149372353,0.2442197334481953,0.0,-15.994282904081619,1.4006175435675143e-57,188.86383834526293
predict_proba_time,-0.8840356465692372,0.4131123675771352,0.03755824285377984,-0.9576484498852545,-0.8104228432532198,0.38379433727361145,0.4446700007549077,0.0,-23.537726458900842,1.6768300727456447e-122,404.5294910803365
model.trainer.batch_size,2.7572667865538958e-05,1.000027573047995,9.008013276726128e-06,9.917286270897107e-06,4.5228049460180805e-05,1.0000099173354473,1.000045229072264,0.0,3.0609044434668027,0.002206695077498265,8.823896993772806
train_time,-0.0029908349713892173,0.9970136331199725,0.00018386961485111742,-0.0033512127943486586,-0.002630457148429776,0.996654396251796,0.9973729994724796,0.0,-16.266064264130595,1.7185490827472548e-59,195.2125665418581
model.trainer.nb_epoch,-0.0003395111481656589,0.9996605464792223,0.001623422161306914,-0.0035213601160313844,0.002842337819700067,0.99648483260144,1.0028463810917148,0.0,-0.20913300080389444,0.8343444133437437,0.26128505072176145
accuracy,0.3041774577113667,1.3555095803754649,0.1311939805120113,0.04704198091937484,0.5613129345033586,1.0481660111288305,1.7529725281884116,0.0,2.3185321195702127,0.020420419423596986,5.613843691133488
device_id_nvidia-l4,-0.5073730237544588,0.6020751402601794,0.11196577493100938,-0.7268219101203548,-0.28792413738856276,0.48344297645665385,0.7498184732689283,0.0,-4.531501024014614,5.856605323829195e-06,17.38150389470597
device_id_nvidia-tesla-p100,0.914760467151672,2.496177263838916,0.1134260418146716,0.6924495102859816,1.1370714240173625,1.9986051460827077,3.117624781822955,0.0,8.064818735774207,7.334460846529914e-16,50.27615860037357
device_id_nvidia-tesla-v100,-0.2233806181966882,0.7998103689725237,0.11349009383220328,-0.44581711470987795,-0.0009441216834984445,0.6403008629633075,0.9990563238591518,0.0,-1.968282963330347,0.04903548907230697,4.350029922661692
