covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
attack.init.eps,-0.7722004242036564,0.46199536325116264,0.08273615734032085,-0.9343603128099245,-0.6100405355973884,0.39283707802084294,0.5433288444688237,0.0,-9.333288480238982,1.0263600903187093e-20,66.401024919848
predict_proba_time,-0.8111821506642704,0.4443324876821673,0.12831549370775117,-1.0626758969899386,-0.5596884043386021,0.3455299695497781,0.5713870778476158,0.0,-6.321778666197574,2.5856956578784987e-10,31.84872847214322
data.sample.random_state,-0.06690603373857149,0.9352830822624084,0.05325031468617267,-0.1712747326888942,0.03746266521175125,0.842590054638834,1.0381732363803224,0.0,-1.2564439127332472,0.2089550689923002,2.2587353377999007
model.trainer.batch_size,6.699173114099483e-05,1.0000669939751372,1.1235012150686153e-05,4.497151195978007e-05,8.901195032220959e-05,1.0000449725231935,1.0000890159120033,0.0,5.962764458328019,2.4800580067649287e-09,28.586978989384832
accuracy,0.5525771159595548,1.7377255725523348,0.17190522077949408,0.21564907447733994,0.8895051574417697,1.2406669209107941,2.433924943598509,0.0,3.2144289362122134,0.0013070426332024592,9.579478084839652
model.trainer.nb_epoch,-0.0023264809514908303,0.9976762232078531,0.00106444661324322,-0.004412757976913178,-0.00024020392606848278,0.9955969639341643,0.9997598249205848,0.0,-2.1856248331725796,0.028843064260192692,5.11563174648083
train_time,-0.002022294586404353,0.997979748873568,9.39028477013475e-05,-0.002206340785944744,-0.001838248386863962,0.9977960913948185,0.9981634401568893,0.0,-21.5360304389931,7.158480411898741e-103,339.31894040586553
device_id_nvidia-l4,-0.09099177723442252,0.913025218460737,0.11658959266386139,-0.31950317982778614,0.13751962535894108,0.7265098921959723,1.1474242243633666,0.0,-0.7804451079674003,0.4351289256279116,1.2004851702340136
device_id_nvidia-tesla-p100,0.6022674928960913,1.826255129602528,0.11054653727473347,0.3856002612219991,0.8189347245701835,1.4704967387435486,2.2680824176796763,0.0,5.448090078111796,5.0913573202335235e-08,24.227374439119046
device_id_nvidia-tesla-v100,-0.43669993027469267,0.6461652969657415,0.11550146433525273,-0.6630786405334256,-0.2103212200159598,0.515262581877529,0.8103239119002553,0.0,-3.7809038421117704,0.0001562600239538754,12.643763639088714
