covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
accuracy,0.5525771159595548,1.7377255725523348,0.17190522077949408,0.21564907447733994,0.8895051574417697,1.2406669209107941,2.433924943598509,0.0,3.2144289362122134,0.0013070426332024592,9.579478084839652
attack.init.eps,-0.7722004242036566,0.4619953632511625,0.08273615734032086,-0.9343603128099247,-0.6100405355973886,0.39283707802084283,0.5433288444688235,0.0,-9.333288480238982,1.0263600903187093e-20,66.401024919848
predict_proba_time,-0.8111821506642704,0.4443324876821673,0.12831549370775114,-1.0626758969899386,-0.5596884043386021,0.3455299695497781,0.5713870778476158,0.0,-6.3217786661975754,2.5856956578784693e-10,31.848728472143236
model.trainer.nb_epoch,-0.0023264809514908303,0.9976762232078531,0.00106444661324322,-0.004412757976913178,-0.00024020392606848278,0.9955969639341643,0.9997598249205848,0.0,-2.1856248331725796,0.028843064260192692,5.11563174648083
data.sample.random_state,-0.06690603373857154,0.9352830822624084,0.05325031468617267,-0.17127473268889426,0.03746266521175119,0.842590054638834,1.0381732363803224,0.0,-1.2564439127332483,0.20895506899229982,2.2587353377999033
model.trainer.batch_size,6.699173114099482e-05,1.0000669939751372,1.1235012150686155e-05,4.497151195978006e-05,8.901195032220958e-05,1.0000449725231935,1.0000890159120033,0.0,5.962764458328017,2.480058006764956e-09,28.586978989384814
train_time,-0.0020222945864043535,0.997979748873568,9.390284770134751e-05,-0.0022063407859447444,-0.0018382483868639625,0.9977960913948185,0.9981634401568893,0.0,-21.5360304389931,7.158480411898741e-103,339.31894040586553
device_id_nvidia-l4,-0.09099177723442287,0.9130252184607367,0.11658959266386144,-0.3195031798277866,0.13751962535894086,0.726509892195972,1.147424224363366,0.0,-0.7804451079674029,0.43512892562791006,1.2004851702340187
device_id_nvidia-tesla-p100,0.6022674928960909,1.8262551296025273,0.11054653727473346,0.38560026122199875,0.8189347245701831,1.470496738743548,2.2680824176796754,0.0,5.448090078111794,5.091357320233584e-08,24.22737443911903
device_id_nvidia-tesla-v100,-0.4366999302746929,0.6461652969657413,0.11550146433525273,-0.6630786405334258,-0.21032122001596001,0.5152625818775288,0.810323911900255,0.0,-3.7809038421117727,0.0001562600239538738,12.643763639088728
