covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
model.trainer.nb_epoch,0.0012786654815920367,1.0012794833228436,0.0006748204844130059,-4.3958363887327797e-05,0.002601289327071401,0.9999560426022673,1.0026046756157552,0.0,1.8948231583460104,0.058115834041233744,4.104924900834674
data.sample.random_state,0.010813025303904438,1.0108716973454122,0.00565106392165436,-0.000262856456871784,0.021888907064680663,0.9997371780868598,1.0221302267156582,0.0,1.9134494767383385,0.05569053558032903,4.166424022559638
predict_proba_time,-0.9546316793680367,0.38495390491027703,0.027734681512637367,-1.0089906562554949,-0.9002727024805786,0.3645867873111784,0.4064588023020961,0.0,-34.420142121807196,1.2600755523813659e-259,860.0458663375158
attack.init.eps,-1.4403374591078404,0.2368478187410435,0.04436170067337785,-1.5272847947206072,-1.3533901234950736,0.21712440501323435,0.2583628921814244,0.0,-32.46803971093492,3.014280647245663e-231,765.7735761724032
train_time,-0.002263587104551906,0.9977389728767935,7.240549870692605e-05,-0.0024054992743001422,-0.0021216749348036694,0.9975973916205995,0.9978805742265165,0.0,-31.262640890219835,1.5032305042692776e-214,710.304546057873
model.trainer.batch_size,4.1118677473737945e-05,1.0000411195228582,4.369579159944336e-06,3.2554459692650265e-05,4.9682895254825625e-05,1.000032554989595,1.0000496841294704,0.0,9.410214569556342,4.951251127138382e-21,67.45269686807922
accuracy,0.2859854488869628,1.331073086516431,0.0469117484452018,0.1940401114825644,0.37793078629136123,1.21414498313483,1.459261938449756,0.0,6.096243656768111,1.085898586683192e-09,29.778463479500513
dataset_cifar,-0.027336178961878677,0.9730340729493054,0.054523044304452296,-0.1341993821260869,0.07952702420232954,0.8744157043595346,1.082774820259883,0.0,-0.5013692707478997,0.6161112622152752,0.6987371872275879
dataset_cifar100,-0.32359406040623756,0.7235438978885891,0.05897893229459039,-0.43919064355026105,-0.2079974772622141,0.6445578871118928,0.812209085699905,0.0,-5.4866042469188265,4.0973366467533967e-08,24.54073832621506
dataset_mnist,0.2699033738554987,1.309837880034057,0.057951916187394634,0.15631970529312145,0.3834870424178759,1.1691999427538269,1.4673925384662332,0.0,4.657367549033806,3.2027834678371357e-06,18.252242304910382
device_id_nvidia-l4,-0.5413135856623099,0.5819832651730438,0.05719124107385241,-0.6534063583982085,-0.42922081292641134,0.5202705270300712,0.6510161605250813,0.0,-9.46497357809212,2.9363528697963862e-21,68.20646464130802
device_id_nvidia-tesla-p100,0.5616893922211481,1.7536325724573056,0.05466092544524261,0.45455594698684354,0.6688228374554527,1.5754736338683588,1.9519382191325092,0.0,10.275885152801314,9.050973974246117e-25,79.87012932339063
device_id_nvidia-tesla-v100,0.020240951400893336,1.0204471885864166,0.05570240094337991,-0.08893374830054121,0.1294156511023279,0.9149061856562483,1.1381631046105607,0.0,0.36337664190575475,0.7163235480575632,0.481316725631472
