covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
data.sample.random_state,0.00466102426758744,1.0046719037377896,0.007627756175737015,-0.010289103119710085,0.019611151654884966,0.9897636486240622,1.0198047135427757,0.0,0.6110609935872889,0.5411592017843517,0.8858750168479561
model.trainer.nb_epoch,-0.0007650828715832893,0.9992352097296907,0.001625436324680541,-0.003950879527120303,0.002420713783953725,0.996056914929034,1.0024236460771692,0.0,-0.4706938438413801,0.637859381240629,0.6486896839801715
attack.init.eps,-2.5462567091481074,0.07837449611941381,0.09834400283425582,-2.739007412798754,-2.353506005497461,0.06463447041190198,0.09503538286655323,0.0,-25.891326728274873,8.339541899376399e-148,488.58538990638027
train_time,-0.0027223856943126706,0.9972813166371348,0.0001715561860902731,-0.003058629640374657,-0.002386141748250684,0.9969460432018851,0.9976167028250026,0.0,-15.868770204999471,1.0426384327139113e-56,185.96773436845788
accuracy,0.1632814763880039,1.1773680443564984,0.07279908732312917,0.020597887127284303,0.3059650656487235,1.0208114876567271,1.3579348671456055,0.0,2.242905541703506,0.024902906334166114,5.327542065585531
predict_proba_time,-1.5857705854551256,0.20478992416193353,0.06377178427287027,-1.7107609858598092,-1.460780185050442,0.18072820866277875,0.23205515812146638,0.0,-24.86633553594552,1.7217378163969754e-136,450.99835543661675
model.trainer.batch_size,2.664471421606281e-05,1.0000266450691897,8.394328497309672e-06,1.0192132686937623e-05,4.3097295745188e-05,1.000010192184627,1.000043098224447,0.0,3.1741328951568035,0.0015028486416514765,9.378084568112152
device_id_nvidia-l4,-1.0467951131705662,0.35106105907356777,0.1157698020682495,-1.2736997557216658,-0.8198904706194665,0.279794533049349,0.44047989735424103,0.0,-9.042039413295806,1.5377562235227563e-19,62.4958069881102
device_id_nvidia-tesla-p100,0.32723598849666485,1.3871287849949951,0.11307317563938886,0.10561663662589088,0.5488553403674388,1.1113957264109335,1.731270168165335,0.0,2.8940196173518693,0.0038034439860084837,8.038477926281155
device_id_nvidia-tesla-v100,1.0823002445243752,2.951460830389169,0.11809781591039918,0.8508327786871515,1.313767710361599,2.341596071481335,3.7201638401326464,0.0,9.16443912345946,4.980529399469544e-20,64.12226279774379
