covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
model.trainer.nb_epoch,-0.00076508287158329,0.9992352097296907,0.001625436324680541,-0.003950879527120304,0.0024207137839537245,0.996056914929034,1.0024236460771692,0.0,-0.47069384384138047,0.6378593812406288,0.6486896839801719
attack.init.eps,-2.5462567091481074,0.07837449611941381,0.09834400283425582,-2.739007412798754,-2.353506005497461,0.06463447041190198,0.09503538286655323,0.0,-25.891326728274873,8.339541899376399e-148,488.58538990638027
train_time,-0.0027223856943126706,0.9972813166371348,0.00017155618609027314,-0.003058629640374657,-0.002386141748250684,0.9969460432018851,0.9976167028250026,0.0,-15.86877020499947,1.0426384327139414e-56,185.96773436845785
predict_proba_time,-1.585770585455125,0.20478992416193367,0.06377178427287028,-1.7107609858598085,-1.4607801850504414,0.18072820866277886,0.23205515812146654,0.0,-24.866335535945506,1.7217378163975646e-136,450.9983554366163
accuracy,0.16328147638800378,1.1773680443564982,0.07279908732312917,0.020597887127284192,0.3059650656487234,1.020811487656727,1.3579348671456053,0.0,2.2429055417035046,0.024902906334166156,5.327542065585528
model.trainer.batch_size,2.6644714216062788e-05,1.0000266450691897,8.39432849730967e-06,1.0192132686937602e-05,4.3097295745187974e-05,1.000010192184627,1.000043098224447,0.0,3.1741328951568013,0.00150284864165149,9.37808456811214
data.sample.random_state,0.004661024267587443,1.0046719037377896,0.007627756175737014,-0.01028910311971008,0.019611151654884966,0.9897636486240622,1.0198047135427757,0.0,0.6110609935872895,0.5411592017843512,0.8858750168479576
device_id_nvidia-l4,-1.0467951131705666,0.3510610590735676,0.11576980206824962,-1.2736997557216665,-0.8198904706194667,0.27979453304934876,0.440479897354241,0.0,-9.0420394132958,1.5377562235228338e-19,62.495806988110125
device_id_nvidia-tesla-p100,0.32723598849666463,1.3871287849949947,0.11307317563938893,0.10561663662589052,0.5488553403674388,1.1113957264109329,1.7312701681653346,0.0,2.8940196173518657,0.003803443986008532,8.038477926281137
device_id_nvidia-tesla-v100,1.082300244524375,2.951460830389168,0.11809781591039921,0.8508327786871512,1.3137677103615988,2.341596071481334,3.720163840132645,0.0,9.164439123459456,4.9805293994696874e-20,64.12226279774374
