param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
alpha_,accuracy,-0.07476921043605474,0.9279576245526989,0.0402388492475184,-0.15363590574052746,0.004097484868417989,0.857584205661985,1.0041058910370029,0.0,-1.8581349077885443,0.06314985875171666,3.985076682657001
alpha_,attack.init.eps,0.440991055975035,1.5542468010579489,0.026725526370893527,0.38860998682020825,0.4933721251298618,1.4749291973163103,1.6378298856611522,0.0,16.500743515956096,3.6240274141366725e-61,200.78001991936486
alpha_,data.sample.random_state,0.02421085177633605,1.024506314094424,0.014982118141986196,-0.005153560194081048,0.05357526374675314,0.9948596966142258,1.0550363947715014,0.0,1.615983237275847,0.1060979374616088,3.236531484278712
alpha_,device_id_nvidia-l4,0.11264108087035969,1.119230147738207,0.1030735977805267,-0.08937945853644029,0.31466162027715966,0.9144984934674539,1.369795721430207,0.0,1.0928218602614892,0.2744720216581784,1.8652689994718035
alpha_,device_id_nvidia-tesla-p100,-0.25349150064979,0.7760863411267115,0.10303078789434279,-0.45542813422148726,-0.0515548670780927,0.6341763971999101,0.949751538440781,0.0,-2.460347104301904,0.013880270018936157,6.170820556210782
alpha_,device_id_nvidia-tesla-v100,0.09800916718849416,1.102972896222606,0.1031134081111063,-0.10408939903245447,0.3001077334094428,0.9011447323528651,1.3500042403014505,0.0,0.950498766202042,0.3418588805182124,1.5485271919758203
alpha_,model.trainer.batch_size,-2.5266181805637482e-06,0.9999974733850113,2.692952018433968e-06,-7.80470714878877e-06,2.751470787661273e-06,0.9999921953233079,1.000002751474573,0.0,-0.9382336422143355,0.3481243529412028,1.522325353969732
alpha_,model.trainer.nb_epoch,0.0005937930962638273,1.0005939694262838,0.00047394570696885057,-0.0003351234200224939,0.0015227096125501485,0.9996649327275584,1.0015238695234934,0.0,1.2528715579290046,0.2102524542822388,2.249805453692798
alpha_,predict_proba_time,0.44376360492560263,1.558562005688923,0.009782706862512203,0.4245898518037659,0.46293735804743935,1.5289631895492195,1.588733817910455,0.0,45.36204663620514,0.0,inf
alpha_,train_time,0.0006979305625723648,1.0006981741727785,5.566600920248842e-05,0.0005888271893724123,0.0008070339357723174,1.000589000582133,1.000807359675281,0.0,12.537822857636531,4.6355635301677045e-36,117.37666668275565
alpha_,Intercept,-2.987338188154681,0.050421470725842285,0.10723715341798962,-3.197519146658537,-2.777157229650825,0.040863454570316,0.06221511952158259,0.0,-27.857305914402787,8.785770257630612e-171,564.9145354513835
beta_,Intercept,1.8089703836648303,6.104159253500472,0.022507961050496825,1.7648555906404262,1.8530851766892344,5.840728841270186,6.3794709880748925,0.0,80.37024675875296,0.0,inf
