param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
mu_,accuracy,-0.060037450853891984,0.9417292643587363,0.04178390371559306,-0.14193239726994372,0.02185749556215976,0.8676799120341226,1.0220981205737192,0.0,-1.4368559544494404,0.15075892739123678,2.7296846591187562
mu_,attack.init.eps,0.4530861617831666,1.573159726922167,0.026266936032906554,0.4016039131744523,0.5045684103918808,1.4942193748415793,1.6562705370302238,0.0,17.249296271767353,1.132705899826994e-66,219.06748093974764
mu_,data.sample.random_state,0.02748784723787679,1.027869123582397,0.015748375959238888,-0.0033784024572278554,0.058354096932981436,0.9966272979231539,1.060090303983936,0.0,1.745440120874868,0.08090828700358736,3.6275687120059574
mu_,device_id_nvidia-l4,0.10299145632273408,1.1084819385236129,0.10305324482660741,-0.0989891920274051,0.3049721046728733,0.9057524973188161,1.3565871600358004,0.0,0.9994004215589981,0.31760075570955454,1.6547137496069653
mu_,device_id_nvidia-tesla-p100,-0.2412655802574483,0.7856329500782764,0.10310145861034209,-0.4433407258872658,-0.03919043462763075,0.6418884618081464,0.9615675759462018,0.0,-2.340079214293938,0.019279650186173697,5.696777314516543
mu_,device_id_nvidia-tesla-v100,0.09958338677120103,1.1047105851481451,0.1032095060477041,-0.1027035279444679,0.30187030148686994,0.9023944685701455,1.3523858129051614,0.0,0.964866421559783,0.3346117218521287,1.5794401092788037
mu_,model.trainer.batch_size,-6.934978015223203e-06,0.9999930650460317,2.786309859325595e-06,-1.2396044989270235e-05,-1.4739110411761728e-06,0.9999876040318414,0.9999985260900449,0.0,-2.4889471614265335,0.01281220057212854,6.286337901305172
mu_,model.trainer.nb_epoch,0.00027798566278918515,1.000278024304384,0.0004984032743170183,-0.0006988668046490076,0.001254838130227378,0.9993013773458768,1.0012556257690126,0.0,0.5577524810006914,0.5770134153239639,0.7933232335619008
mu_,predict_proba_time,0.4457287281172502,1.5616277833607295,0.009686733481849818,0.42674307936498623,0.4647143768695141,1.532258942208413,1.5915595377432257,0.0,46.01434827874835,0.0,inf
mu_,train_time,0.0005527311427683933,1.0005528839267748,2.914119645956271e-05,0.0004956154472412443,0.0006098468382955424,1.0004957382848696,1.0006100328326861,0.0,18.96734554243102,3.1754145975801307e-80,264.08730262152204
mu_,Intercept,-2.95374033074848,0.05214430379904839,0.1075555109058219,-3.164545258462696,-2.742935403034264,0.04223334270324103,0.06438108481711043,0.0,-27.46247315337327,4.9306765543615623e-166,549.1382781341807
sigma_,Intercept,-1.243162426216858,0.28847050723433587,0.018791106453076457,-1.279992318094546,-1.2063325343391698,0.27803943631765266,0.29929291558829024,0.0,-66.1569572457682,0.0,inf
