param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
mu_,accuracy,-0.12207722880151678,0.8850800121945349,0.018108387534329865,-0.1575690161868974,-0.08658544141613617,0.8542178567147627,0.917057190772186,0.0,-6.741474279257768,1.5678749421433658e-11,35.89239855289511
mu_,attack.init.eps,0.5110921887380927,1.667111000839502,0.01430627128871498,0.4830524122591519,0.5391319652170334,1.6210148638367452,1.714517954845841,0.0,35.72504522133944,1.6150849739657811e-279,926.1263284025905
mu_,data.sample.random_state,-0.0048219977088749255,0.9951896094580055,0.002136419251316988,-0.009009302497334249,-0.0006346929204156023,0.9910311596652824,0.99936550845453,0.0,-2.2570465539020126,0.02400516596281691,5.380511279485143
mu_,dataset_cifar,0.007970468422704624,1.0080023171663792,0.051374273938680236,-0.09272125822900334,0.1086621950744126,0.9114475233879122,1.1147857066263054,0.0,0.15514513026924892,0.8767069040841029,0.18983348562513933
mu_,dataset_cifar100,0.10255653630621266,1.107999942363083,0.05206440895845736,0.0005121698712716866,0.2046009027411536,1.0005123010526549,1.2270352608208324,0.0,1.9698012204084252,0.04886115666899009,4.3551681734707355
mu_,dataset_mnist,-0.08487419848552026,0.9186278419064055,0.051937816401772474,-0.18667044806864802,0.016922051097607485,0.8297171262162767,1.017066040053815,0.0,-1.63415030445184,0.10222729437495279,3.290147652016035
mu_,device_id_nvidia-l4,0.15933412178021233,1.172729715768121,0.05114257574968912,0.05909651523421011,0.25957172832621456,1.060877626651784,1.296374767169066,0.0,3.1154887966545344,0.0018364032442236367,9.088901398805412
mu_,device_id_nvidia-tesla-p100,-0.16228507316976648,0.8501988011233516,0.050808018937300865,-0.2618669604127052,-0.06270318592682775,0.7696134059468831,0.9392222066899298,0.0,-3.194083858495502,0.0014027536317600246,9.477522636680046
mu_,device_id_nvidia-tesla-v100,-0.008886780117522333,0.991152590600284,0.05094080672204318,-0.10872892663614286,0.09095536640109819,0.896973530178177,1.0952201205519536,0.0,-0.17445306993296658,0.8615094099102442,0.21506154039105216
mu_,model.trainer.batch_size,-1.1251966161995238e-05,0.9999887480971411,1.6040672431146024e-06,-1.4395880187280314e-05,-8.108052136710162e-06,0.9999856042234329,0.9999918919807335,0.0,-7.014647428462787,2.3052953250233073e-12,38.658185556473356
mu_,model.trainer.nb_epoch,-0.0002719736750404529,0.9997280633064468,0.0002493956222461178,-0.0007607801125448002,0.00021683276246389435,0.9992395092072709,1.0002168562723865,0.0,-1.0905310710388243,0.275479274164499,1.8599843139670773
mu_,predict_proba_time,0.5153298062317739,1.674190569237796,0.008910739123054219,0.49786507847495565,0.5327945339885922,1.6452051348430883,1.7036866727212738,0.0,57.832442305318104,0.0,inf
mu_,train_time,0.000760743460435329,1.0007610328991332,1.5215859947491247e-05,0.0007309209229444406,0.0007905659979262174,1.000731188110736,1.000790878577591,0.0,49.99674438780297,0.0,inf
mu_,Intercept,-3.0368645937885552,0.047985106676723274,0.07409794482297256,-3.1820938969700174,-2.891635290607093,0.04149867014448974,0.05548540362280142,0.0,-40.98446456300414,0.0,inf
sigma_,Intercept,-1.080790363511156,0.33932722777330804,0.009464442190072688,-1.09934032933746,-1.062240397684852,0.333090741429318,0.3456804803827063,0.0,-114.1948296376942,0.0,inf
