param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
lambda_,accuracy,-0.05554589841934139,0.9459686042103201,0.03334937192569258,-0.12090946630073003,0.009817669462047249,0.8861141791561485,1.0098660208820924,0.0,-1.6655755479625227,0.0957979847416043,3.3838608828098686
lambda_,attack.init.eps,0.5243962899886813,1.689438609443819,0.028929064996249462,0.46769636448961394,0.5810962154877486,1.5963126318932428,1.787997387262639,0.0,18.12696988501589,1.952245858917101e-73,241.53561617454022
lambda_,data.sample.random_state,-0.004318298855719826,0.9956910115901998,0.004054920180217694,-0.012265796369131172,0.0036291986576915203,0.9878091218876204,1.0036357921731194,0.0,-1.0649528631382312,0.28689726107680424,1.801393899697388
lambda_,dummy_cifar,-0.3899376772911819,0.6770990718315197,382479.05282380874,-749645.5583133353,749644.7784379807,0.0,inf,0.0,-1.019500739745894e-06,0.9999991865561,1.1735519579042314e-06
lambda_,dummy_cifar100,-0.32438863797477785,0.7229692144829799,382479.0528238088,-749645.4927642961,749644.8439870201,0.0,inf,0.0,-8.48121316918784e-07,0.9999993232970955,9.762762547868632e-07
lambda_,dummy_mnist,-0.47108015949893745,0.6243275306235075,382479.052823809,-749645.639455818,749644.6972954989,0.0,inf,0.0,-1.231649566220671e-06,0.9999990172858267,1.4177575609970954e-06
lambda_,dummy_nvidia-l4,-0.2255773111463032,0.7980553594881804,,,,,,0.0,,,
lambda_,dummy_nvidia-tesla-p100,-0.6498665535961893,0.5221154465410368,,,,,,0.0,,,
lambda_,dummy_nvidia-tesla-v100,-0.33256758404826947,0.7170802040431565,,,,,,0.0,,,
lambda_,model.trainer.batch_size,-1.703326014509752e-05,0.99998296688492,3.1106767963623364e-06,-2.3130074633512133e-05,-1.0936445656682905e-05,0.9999768701928645,0.999989063614146,0.0,-5.475740895041369,4.3568480726775396e-08,24.45213995307929
lambda_,model.trainer.nb_epoch,-0.0012833168494633203,0.9987175062494682,0.00047442356792756226,-0.002213169956018334,-0.0003534637429083063,0.9977892772988788,0.9996465987180411,0.0,-2.705002314849722,0.0068303913480532085,7.19381604440133
lambda_,predict_proba_time,0.5103758960834187,1.6659172890496068,0.020816529163732354,0.46957624863937564,0.5511755435274618,1.5993163371323558,1.735291730296828,0.0,24.517819088334008,9.537608179699845e-133,438.5628091043046
lambda_,train_time,0.0011716346005090376,1.001172321232462,4.38049612747598e-05,0.0010857784540663367,0.0012574907469517385,1.0010863681248898,1.0012582817199533,0.0,26.746618794162195,1.3518293084356563e-157,521.1077978991128
lambda_,Intercept,-2.116076937165162,0.12050344501003925,123106.0833378613,-241285.60569693177,241281.37354305742,0.0,inf,0.0,-1.7189052561745843e-05,0.9999862851203468,1.97865245472457e-05
rho_,Intercept,1.1044246794485448,3.0174879464965927,0.017659863955494452,1.0698119821238987,1.139037376773191,2.914831408042537,3.1237599135679917,0.0,62.538685588510944,0.0,inf
