covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
predict_proba_time,-1.5857705854551254,0.2047899241619336,0.06377178427287024,-1.710760985859809,-1.4607801850504418,0.1807282086627788,0.2320551581214664,0.0,-24.866335535945527,1.721737816396681e-136,450.99835543661703
model.trainer.nb_epoch,-0.0007650828715832865,0.9992352097296907,0.0016254363246805408,-0.0039508795271203006,0.002420713783953727,0.996056914929034,1.0024236460771692,0.0,-0.4706938438413784,0.6378593812406302,0.6486896839801687
attack.init.eps,-2.5462567091481074,0.07837449611941381,0.09834400283425582,-2.739007412798754,-2.353506005497461,0.06463447041190198,0.09503538286655323,0.0,-25.891326728274873,8.339541899376399e-148,488.58538990638027
train_time,-0.00272238569431267,0.9972813166371348,0.0001715561860902731,-0.0030586296403746567,-0.0023861417482506837,0.9969460432018851,0.9976167028250026,0.0,-15.86877020499947,1.0426384327139414e-56,185.96773436845785
accuracy,0.16328147638800383,1.1773680443564984,0.07279908732312919,0.02059788712728422,0.30596506564872344,1.0208114876567271,1.3579348671456055,0.0,2.242905541703505,0.02490290633416616,5.327542065585528
data.sample.random_state,0.0046610242675874415,1.0046719037377896,0.0076277561757370155,-0.010289103119710085,0.019611151654884966,0.9897636486240622,1.0198047135427757,0.0,0.6110609935872892,0.5411592017843516,0.8858750168479564
model.trainer.batch_size,2.6644714216062798e-05,1.0000266450691897,8.394328497309672e-06,1.0192132686937609e-05,4.309729574518799e-05,1.000010192184627,1.000043098224447,0.0,3.174132895156802,0.0015028486416514858,9.378084568112143
device_id_nvidia-l4,-1.0467951131705682,0.35106105907356705,0.11576980206824958,-1.273699755721668,-0.8198904706194683,0.27979453304934837,0.4404798973542402,0.0,-9.042039413295816,1.537756223522621e-19,62.49580698811033
device_id_nvidia-tesla-p100,0.3272359884966625,1.3871287849949918,0.1130731756393889,0.10561663662588847,0.5488553403674366,1.1113957264109307,1.731270168165331,0.0,2.8940196173518475,0.0038034439860087535,8.038477926281054
device_id_nvidia-tesla-v100,1.0823002445243732,2.951460830389163,0.11809781591039921,0.8508327786871495,1.313767710361597,2.3415960714813306,3.720163840132639,0.0,9.16443912345944,4.980529399470415e-20,64.12226279774353
