param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
lambda_,accuracy,-0.0012321680895757453,0.9987685907178333,0.03758997475044972,-0.0749071647802272,0.07244282860107572,0.9278296175969447,1.0751313375704548,0.0,-0.03277916779023651,0.9738506909794563,0.03822749701053448
lambda_,attack.init.eps,0.6750683666552422,1.9641672549252487,0.03146908681736722,0.6133900898668382,0.7367466434436462,1.8466812143498632,2.0891277689629857,0.0,21.451793964440178,4.3937642746496076e-102,336.7012082072287
lambda_,data.sample.random_state,-0.012382407146331523,0.9876939394140808,0.0044725519962057715,-0.021148447977877557,-0.003616366314785487,0.9790736122831633,0.9963901648624607,0.0,-2.768532854807718,0.005630930791729099,7.472410865443749
lambda_,dummy_cifar,-0.37827562202111564,0.6850416620755791,747498.4094421775,-1465070.339283265,1465069.582732021,0.0,inf,0.0,-5.060554206441787e-07,0.9999995962261929,5.825225866844399e-07
lambda_,dummy_cifar100,-0.23718150340834648,0.7888480964049548,747498.4094421768,-1465070.198189145,1465069.7238261383,0.0,inf,0.0,-3.173003452747732e-07,0.9999997468309534,3.65245774293454e-07
lambda_,dummy_mnist,-0.4576220052665508,0.6327866210169182,747498.4094421802,-1465070.4186296535,1465069.5033856428,0.0,inf,0.0,-6.122046541985965e-07,0.9999995115313584,7.0471145904748e-07
lambda_,dummy_nvidia-l4,-0.10240895589554666,0.9026603279131307,,,,,,0.0,,,
lambda_,dummy_nvidia-tesla-p100,-0.6140437875786353,0.5411581100931002,,,,,,0.0,,,
lambda_,dummy_nvidia-tesla-v100,-0.3975547800187514,0.671961131595954,,,,,,0.0,,,
lambda_,model.trainer.batch_size,-1.8352563867116193e-05,0.9999816476045401,3.47266458476523e-06,-2.5158861383643787e-05,-1.15462663505886e-05,0.9999748414550977,0.9999884538003073,0.0,-5.2848650997363515,1.2579742311735602e-07,22.92239429440998
lambda_,model.trainer.nb_epoch,-0.0024624808875818305,0.9975405485313401,0.000531235936946891,-0.003503684191291128,-0.001421277583872533,0.9965024465480169,0.9985797319527788,0.0,-4.63538084741434,3.5628090426130117e-06,18.098553408518683
lambda_,predict_proba_time,0.42414747126916563,1.5282869555834426,0.02159101849123294,0.38182985263681074,0.4664650899015205,1.4649628043679954,1.59434834225306,0.0,19.644625446520333,6.4269089409472715e-86,283.0016911284823
lambda_,train_time,50.078463071936525,5.607898884910175e+21,2.1058973983889993,45.95098001595749,54.20594612791556,9.041845023240335e+19,3.478109813046381e+23,0.0,23.78010586377394,5.365651831599994e-125,412.817258417414
lambda_,Intercept,-6.695372517148658,0.0012366211258729267,,,,,,0.0,,,
rho_,Intercept,0.9925353474266043,2.6980663436672065,0.016792202896288307,0.9596232345287901,1.0254474603244186,2.61071266171543,2.788342854263603,0.0,59.106917273253714,0.0,inf
